Dataset,number cross validation,Learning Rate,Number convolutions,N,Accuracy score,FPR,TPR,pecision score,Recall score,Auc score,Pr auc score,Training_time (seconds),Inference_time (seconds)
kmnist,4,1.26129E-06,0,5,0.1015,0.099863653,0.10097846,0.099312434,0.10097846,0.50714265,0.103809888,37.16766524,0.101147652
kmnist,5,4.26808E-06,3,2,0.096,0.100481623,0.095743543,0.09700347,0.095743543,0.505022145,0.101257151,104.6211462,0.060245514
kmnist,6,1.00526E-06,2,2,0.0995,0.100090074,0.099065828,0.096519269,0.099065828,0.502036155,0.101512286,93.56442714,0.047869205
kmnist,7,0.003233658,3,4,0.0865,0.101498874,0.086563878,0.086759718,0.086563878,0.498777331,0.099060627,82.44563723,0.045161963
kmnist,8,0.00001,1,4,0.099,0.100147607,0.098821557,0.099537629,0.098821557,0.502182693,0.102081817,56.64408183,0.04227519
kmnist,9,0.005637151,2,4,0.98,0.201646481,0.185385435,0.186297347,0.185385435,1.000960024,0.201142444,139.0897191,0.087437153
tf_flowers,0,1.68E-06,2,7,0.245,0.211026212,0.19555,0.0565,0.19700032,0.446951812,0.193735847,34.67338979,0.061552574
tf_flowers,1,5.39E-06,2,8,0.234693878,0.20976324,0.190469325,0.109327945,0.191073976,0.49682556,0.204276555,35.23432625,0.045716536
tf_flowers,2,1.28E-06,3,8,0.24,0.22887652,0.190932748,0.049681753,0.191087465,0.491597327,0.202621687,35.38579947,0.054313729
tf_flowers,3,0.000001,3,2,0.25,0.193876632,0.197038659,0.091895848,0.198876327,0.493117733,0.199057687,27.37007689,0.060235769
tf_flowers,4,1.46E-06,3,7,0.25,0.211113906,0.19892385,0.12008746,0.198946235,0.466299813,0.187378952,34.91301096,0.047603841
tf_flowers,5,0.000002,2,7,0.260204082,0.199936514,0.210009,0.250878645,0.2001725,0.499983476,0.224459552,28.20882743,0.043319409
tf_flowers,6,0.02399126,3,7,0.205,0.2002974,0.1897635,0.042278,0.20526,0.501568882,0.592925809,34.93109306,0.053155905
tf_flowers,7,0.000001,2,7,0.239795918,0.200986153,0.19007364,0.04967825,0.18991267,0.499321044,0.205350773,35.298904,0.048799291
tf_flowers,8,1.36E-06,2,2,0.25,0.190003654,0.200012735,0.147003765,0.210006784,0.462305971,0.204914372,35.22796962,0.04749583
tf_flowers,9,0.000002,3,7,0.244897959,0.198973275,0.211001,0.049009724,0.199003,0.516150905,0.211556119,32.79109286,0.046034438
